,blueWins,league,season,blueTeam,redTeam,blueTopChamp,redTopChamp,blueJungleChamp,redJungleChamp,blueMiddleChamp,redMiddleChamp,blueADCChamp,redADCChamp,blueSupportChamp,redSupportChamp,golddiffTeam20,golddiffTop20,golddiffJungle20,golddiffMiddle20,golddiffADC20,golddiffSupport20,rKills20,bKills20,rTowers20,bTowers20,rInhibs20,bInhibs20
245,0,NALCS,2016 Spring,TSM,CLG,4.4,2.7,61.9,36.3,29.2,31.9,6.2,81.4,58.4,29.2,-271,-757,-148,645,133,-144,4,5,3,3,0,0
246,0,NALCS,2016 Spring,C9,IMT,44.2,1.8,21.2,36.3,15.9,29.2,1.8,57.5,45.1,35.4,-7267,-1426,-1490,-1626,-1862,-863,8,3,4,2,0,0
247,0,NALCS,2016 Spring,DIG,NRG,15.0,46.9,38.9,21.2,3.5,15.0,20.4,57.5,58.4,35.4,1695,-177,873,883,-339,455,2,4,3,4,0,0
248,1,NALCS,2016 Spring,REN,TL,4.4,5.3,36.3,61.9,10.6,15.0,81.4,57.5,58.4,35.4,3205,970,736,111,851,537,0,2,2,3,0,0
249,1,NALCS,2016 Spring,FOX,TIP,69.9,26.5,61.9,70.8,31.9,15.0,57.5,38.9,9.7,58.4,2293,104,626,557,500,506,1,2,2,3,0,0
250,0,NALCS,2016 Spring,REN,NRG,4.4,46.9,36.3,61.9,44.2,8.0,57.5,81.4,23.9,26.5,-9,-1023,513,-285,267,519,3,4,4,3,0,0
251,1,NALCS,2016 Spring,DIG,CLG,46.9,2.7,61.9,70.8,8.0,31.9,20.4,57.5,26.5,45.1,2619,1194,744,1122,-360,-81,4,9,4,4,0,0
252,1,NALCS,2016 Spring,TSM,TL,23.9,5.3,36.3,61.9,6.2,10.6,20.4,57.5,29.2,58.4,433,764,35,571,-957,20,4,3,2,2,0,0
253,0,NALCS,2016 Spring,FOX,C9,31.9,46.9,36.3,61.9,3.5,29.2,1.8,23.0,26.5,58.4,-4917,-1805,-835,-1856,125,-546,5,3,4,2,0,0
254,1,NALCS,2016 Spring,IMT,TIP,46.9,4.4,61.9,83.2,69.9,29.2,76.1,57.5,35.4,58.4,14830,2922,2923,3662,3037,2286,0,16,0,11,0,3
255,1,NALCS,2016 Spring,TIP,C9,31.9,3.5,21.2,83.2,69.9,20.4,57.5,81.4,45.1,26.5,81,198,-1642,586,390,549,2,5,1,2,0,0
256,0,NALCS,2016 Spring,TSM,IMT,70.8,46.9,21.2,1.8,8.0,31.9,23.0,76.1,45.1,35.4,430,364,548,-88,-490,96,3,5,3,2,0,0
257,0,NALCS,2016 Spring,TL,CLG,3.5,46.9,36.3,61.9,44.2,76.1,57.5,23.0,29.2,58.4,-1178,-1355,576,-1408,699,310,5,7,4,2,0,0
258,1,NALCS,2016 Spring,DIG,REN,23.9,69.0,61.9,36.3,8.0,15.0,57.5,76.1,58.4,9.7,-918,-553,431,-383,74,-487,0,3,5,3,0,0
259,1,NALCS,2016 Spring,TSM,DIG,70.8,5.3,69.0,36.3,6.2,8.8,76.1,20.4,45.1,58.4,7901,2369,1881,1524,1172,955,1,7,1,5,0,0
260,0,NALCS,2016 Spring,NRG,IMT,15.0,31.9,83.2,1.8,7.1,14.2,76.1,57.5,58.4,35.4,1362,433,493,92,-207,551,4,2,2,4,0,0
261,0,NALCS,2016 Spring,CLG,C9,77.9,46.9,61.9,69.0,21.2,15.0,57.5,81.4,26.5,58.4,-6132,-533,-1568,-1461,-1841,-729,8,1,3,0,0,0
262,0,NALCS,2016 Spring,FOX,TL,23.9,5.3,36.3,61.9,31.9,1.8,81.4,23.0,35.4,58.4,4675,572,492,1019,1655,937,0,6,2,5,0,0
263,0,NALCS,2016 Spring,REN,TIP,3.5,77.9,61.9,83.2,8.0,7.1,81.4,76.1,23.9,58.4,426,-693,342,448,138,191,3,6,2,3,0,0
264,1,NALCS,2016 Spring,TIP,DIG,46.9,70.8,36.3,1.8,69.9,76.1,57.5,81.4,58.4,23.9,-331,-283,911,160,-698,-421,1,3,2,1,0,0
265,0,NALCS,2016 Spring,C9,TSM,23.9,31.9,83.2,36.3,76.1,15.0,6.2,57.5,45.1,35.4,1939,37,1455,387,-310,370,0,0,4,4,0,0
266,1,NALCS,2016 Spring,TL,NRG,70.8,26.5,36.3,61.9,8.8,15.0,23.0,81.4,29.2,58.4,3473,1235,1550,370,400,-82,3,3,0,2,0,0
267,1,NALCS,2016 Spring,CLG,FOX,46.9,26.5,36.3,61.9,76.1,15.0,81.4,20.4,23.9,58.4,7500,1547,923,1855,2118,1057,1,5,1,4,0,0
268,1,NALCS,2016 Spring,IMT,REN,69.0,26.5,70.8,83.2,15.0,76.1,57.5,20.4,25.7,58.4,3412,369,74,481,2304,184,3,4,2,3,0,0
269,1,NALCS,2016 Spring,TL,TIP,23.9,44.2,69.0,61.9,8.8,7.1,57.5,81.4,23.9,58.4,-4346,-2013,-1075,141,-707,-692,8,1,3,1,0,0
270,1,NALCS,2016 Spring,NRG,TSM,70.8,69.0,36.3,61.9,8.0,15.0,57.5,23.0,35.4,45.1,-483,-656,216,-461,338,80,0,4,3,2,0,0
271,0,NALCS,2016 Spring,DIG,C9,70.8,31.9,69.0,83.2,21.2,77.9,81.4,76.1,9.7,23.9,-2560,-277,-1043,-723,-445,-72,1,4,3,2,0,0
272,0,NALCS,2016 Spring,FOX,IMT,46.9,13.3,21.2,61.9,77.9,6.2,81.4,57.5,58.4,35.4,-14607,-2675,-3715,-4379,-2377,-1461,13,1,8,1,1,0
273,1,NALCS,2016 Spring,CLG,REN,77.9,0.9,36.3,61.9,21.2,76.1,23.0,57.5,23.9,9.7,-898,-579,-140,354,-713,180,2,2,2,1,0,0
274,1,NALCS,2016 Spring,TL,DIG,70.8,26.5,83.2,69.0,31.9,69.9,23.0,57.5,29.2,58.4,9615,862,3347,2117,1408,1881,1,9,2,6,0,0
275,1,NALCS,2016 Spring,C9,REN,46.9,13.3,83.2,36.3,10.6,44.2,57.5,23.0,23.9,70.8,11738,2590,1943,3508,2377,1320,1,13,1,9,0,1
276,0,NALCS,2016 Spring,CLG,IMT,44.2,1.8,69.0,83.2,8.0,8.8,57.5,81.4,45.1,25.7,-4452,-593,-670,-1907,-920,-362,10,8,4,3,0,0
277,1,NALCS,2016 Spring,TSM,FOX,70.8,26.5,69.0,61.9,6.2,8.8,57.5,81.4,58.4,9.7,312,-175,510,46,235,-304,3,0,2,2,0,0
278,1,NALCS,2016 Spring,NRG,TIP,15.0,69.0,36.3,83.2,21.2,31.9,76.1,20.4,29.2,23.9,627,-1164,-438,500,1102,627,5,6,2,3,0,0
279,1,NALCS,2016 Spring,IMT,TL,15.9,15.0,36.3,61.9,69.9,76.1,23.0,81.4,35.4,58.4,6298,2582,1609,1033,405,669,4,7,3,4,0,0
280,1,NALCS,2016 Spring,C9,NRG,70.8,77.9,1.8,36.3,10.6,8.0,81.4,57.5,23.9,35.4,1068,-1142,252,1588,475,-105,0,2,3,2,0,0
281,0,NALCS,2016 Spring,REN,TSM,44.2,46.9,83.2,38.9,10.6,69.9,1.8,81.4,45.1,58.4,4168,1667,686,-570,1473,912,6,8,2,4,0,0
282,0,NALCS,2016 Spring,TIP,CLG,13.3,44.2,61.9,36.3,76.1,14.2,57.5,81.4,29.2,69.9,-6159,-2027,-1275,-609,-1266,-982,8,2,5,2,0,0
